time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,30.35,30.48,30.35,30.41,14900,,
2020-01-03,30.41,30.41,30.35,30.35,3000,,
2020-01-06,30.04,30.04,28.8,29.42,53000,,
2020-01-07,30.66,30.66,27.87,28.8,43600,,
2020-01-08,29.42,29.42,27.87,27.87,8700,,
2020-01-09,28.49,28.49,26.82,26.82,32700,,
2020-01-10,26.76,26.76,24.22,24.84,54000,,
2020-01-13,24.78,25.4,24.28,24.53,25830,,
2020-01-14,24.59,27.44,24.59,27.25,25100,,
2020-01-15,25.27,25.27,25.02,25.02,6000,,
2020-01-16,25.52,25.52,25.09,25.15,1500,,
2020-01-17,25.09,25.33,25.09,25.09,33600,,
2020-01-20,26.02,26.02,24.78,25.09,14700,,
2020-01-21,26.02,26.02,25.15,25.21,900,,
2020-01-22,25.46,26.39,25.46,26.33,15720,,
2020-01-30,25.46,25.46,25.27,25.27,10600,,
2020-01-31,27.25,27.25,24.78,25.4,10400,,
2020-02-03,24.78,24.78,23.85,24.16,2000,,
2020-02-04,25.33,25.33,24.16,24.16,6100,,
2020-02-05,25.09,25.09,24.16,24.16,3900,26.2665,26.1289
2020-02-06,25.33,26.02,25.27,26.02,5606,26.047,26.1186
2020-02-07,26.02,26.63,26.02,26.02,1700,25.8305,26.1092
2020-02-10,24.34,24.34,24.28,24.34,2300,25.5765,25.9407
2020-02-11,26.02,26.02,24.34,25.58,410,25.4155,25.9063
2020-02-12,25.89,25.89,25.09,25.09,2300,25.2765,25.8286
2020-02-13,25.21,25.21,24.53,24.96,1000,25.1835,25.7459
2020-02-14,24.78,24.78,23.85,24.16,19700,25.1495,25.5948
2020-02-17,25.27,25.27,24.71,24.78,13916,25.162,25.5172
2020-02-18,25.27,25.27,24.84,24.84,200,25.0415,25.4527
2020-02-19,24.28,25.09,24.28,25.09,5300,25.045,25.4182
2020-02-20,24.53,24.9,24.53,24.9,16900,25.0325,25.3688
2020-02-21,25.4,25.4,25.4,25.4,100,25.048,25.3718
2020-02-24,24.16,24.78,23.54,24.78,300,25.0325,25.3154
2020-02-25,25.15,25.15,23.54,23.54,200,24.949,25.1464
2020-02-26,25.27,25.27,24.16,24.16,200,24.8405,25.0524
2020-02-27,23.54,24.71,23.54,24.71,201,24.8125,25.0198
2020-02-28,24.78,25.09,23.97,24.78,3500,24.7815,24.997
2020-03-02,24.47,24.47,24.47,24.47,501,24.797,24.9468
2020-03-03,24.22,24.47,24.22,24.47,1301,24.8125,24.9014
2020-03-04,24.4,24.4,24.4,24.4,100,24.8245,24.8536
2020-03-05,24.71,24.71,23.72,24.1,800,24.7285,24.7818
