time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,13.26,13.26,12.78,12.84,14202,,
2020-01-03,12.84,13.12,12.84,12.98,1282,,
2020-01-06,12.98,12.98,12.98,12.98,30,,
2020-01-07,13.05,13.05,12.98,13.05,2388,,
2020-01-08,13.05,13.05,12.57,12.64,7900,,
2020-01-09,12.64,12.78,12.64,12.78,3430,,
2020-01-10,12.78,12.78,12.5,12.57,9700,,
2020-01-13,12.5,12.5,11.74,11.74,10144,,
2020-01-14,11.74,11.74,11.74,11.74,110,,
2020-01-15,11.53,11.74,11.53,11.74,2500,,
2020-01-16,11.81,11.81,11.74,11.74,2700,,
2020-01-17,11.74,11.88,11.74,11.74,1800,,
2020-01-20,11.88,11.88,11.6,11.6,8400,,
2020-01-21,11.67,11.67,11.39,11.39,9800,,
2020-01-22,11.39,11.46,11.05,11.05,13300,,
2020-01-30,11.05,11.05,10.08,10.08,3600,,
2020-01-31,11.05,11.05,9.74,10.36,17000,,
2020-02-03,9.67,10.22,9.32,9.53,9700,,
2020-02-04,9.67,10.01,9.67,9.67,2200,,
2020-02-05,10.22,10.22,9.67,9.67,2149,11.5945,11.2196
2020-02-06,9.74,9.81,9.67,9.81,8300,11.443,11.0854
2020-02-07,9.81,9.81,9.67,9.67,2000,11.2775,10.9506
2020-02-10,9.67,9.81,9.67,9.81,2249,11.119,10.842
2020-02-11,9.88,9.88,9.53,9.81,11610,10.957,10.7437
2020-02-12,10.08,10.08,9.81,9.88,4690,10.819,10.6614
2020-02-13,9.88,9.88,9.53,9.53,14200,10.6565,10.5537
2020-02-14,9.53,9.53,9.39,9.53,600,10.5045,10.4562
2020-02-17,9.53,9.53,9.18,9.39,16800,10.387,10.3546
2020-02-18,9.32,9.32,9.25,9.25,4500,10.2625,10.2494
2020-02-19,9.32,9.32,9.25,9.32,2700,10.1415,10.1609
2020-02-20,9.32,9.32,9.32,9.32,815,10.0205,10.0808
2020-02-21,9.32,9.32,9.25,9.25,9500,9.896,10.0017
2020-02-24,9.25,9.25,8.98,8.98,10200,9.765,9.9044
2020-02-25,8.98,9.32,8.98,9.05,7200,9.648,9.823
2020-02-26,8.77,8.91,8.77,8.91,500,9.541,9.7361
2020-02-27,8.98,9.12,8.91,9.05,4700,9.4895,9.6707
2020-02-28,9.05,9.05,8.98,8.98,5200,9.4205,9.6049
2020-03-02,8.98,9.18,8.98,9.18,800,9.403,9.5645
