time,open,high,low,close,volume,SMA_20,EMA_20
2020-11-02,9.3,9.3,9.3,9.3,0,,
2020-11-03,9.3,9.3,9.3,9.3,0,,
2020-11-04,9.3,9.3,9.3,9.3,0,,
2020-11-05,9.3,9.3,9.3,9.3,0,,
2020-11-06,9.3,9.3,9.3,9.3,0,,
2020-11-09,9.3,9.3,9.3,9.3,0,,
2020-11-10,9.3,9.3,9.3,9.3,0,,
2020-11-11,9.3,9.3,9.3,9.3,0,,
2020-11-12,9.3,9.3,9.3,9.3,0,,
2020-11-13,9.3,9.3,9.3,9.3,0,,
2020-11-16,9.3,9.3,9.3,9.3,0,,
2020-11-17,9.3,9.3,9.3,9.3,0,,
2020-11-18,9.3,9.3,9.3,9.3,0,,
2020-11-19,9.3,9.3,9.3,9.3,0,,
2020-11-20,9.3,9.3,9.3,9.3,0,,
2020-11-23,9.3,9.3,9.3,9.3,0,,
2020-11-24,9.3,9.3,9.3,9.3,0,,
2020-11-25,9.3,9.3,9.3,9.3,0,,
2020-11-26,9.3,9.3,9.3,9.3,0,,
2020-11-27,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-11-30,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-01,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-02,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-03,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-04,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-07,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-08,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-09,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-10,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-11,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-14,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-15,9.3,9.3,9.3,9.3,0,9.3,9.3
2020-12-16,9.3,9.3,9.3,9.3,0,9.3,9.3
