time,open,high,low,close,volume,SMA_20,EMA_20
2020-11-06,15.52,15.52,13.12,14.43,83500,,
2020-11-09,13.58,13.58,13.04,13.04,44400,,
2020-11-10,13.5,13.5,13.04,13.04,6600,,
2020-11-11,12.42,12.42,11.8,11.8,50900,,
2020-11-12,11.8,11.8,11.33,11.64,52900,,
2020-11-13,11.72,12.8,11.72,12.26,73300,,
2020-11-16,12.42,12.8,12.42,12.65,25800,,
2020-11-17,12.73,12.8,12.18,12.8,17200,,
2020-11-18,13.12,13.35,12.65,13.35,69700,,
2020-11-19,13.35,13.97,13.35,13.97,57700,,
2020-11-20,14.67,15.37,14.67,15.13,82600,,
2020-11-23,15.13,15.68,14.74,15.68,162000,,
2020-11-24,15.13,15.29,15.13,15.21,18600,,
2020-11-25,15.44,15.44,14.36,14.43,20300,,
2020-11-26,14.05,14.12,14.05,14.12,8700,,
2020-11-27,14.74,14.74,14.05,14.67,16700,,
2020-11-30,15.13,15.13,13.97,14.28,16500,,
2020-12-01,14.36,14.98,14.28,14.74,38900,,
2020-12-02,14.59,15.13,14.51,14.9,27900,,
2020-12-03,14.9,15.29,14.9,15.06,42100,13.86,14.3091
2020-12-04,14.36,15.06,14.36,15.06,2000,13.8915,14.3806
2020-12-07,14.59,15.13,14.59,15.13,24300,13.996,14.452
2020-12-08,15.06,15.06,14.74,15.06,8100,14.097,14.5099
2020-12-09,14.67,14.9,14.67,14.74,17800,14.244,14.5318
2020-12-10,14.74,14.82,14.74,14.74,22500,14.399,14.5516
2020-12-11,14.74,14.74,14.59,14.74,10500,14.523,14.5696
2020-12-14,14.74,14.74,14.74,14.74,800,14.6275,14.5858
2020-12-15,14.67,14.67,14.51,14.51,8000,14.713,14.5786
2020-12-16,14.43,14.98,14.43,14.74,1500,14.7825,14.594
2020-12-17,14.59,14.67,14.43,14.43,3300,14.8055,14.5784
2020-12-18,14.59,14.74,14.59,14.74,9200,14.786,14.5937
2020-12-21,14.74,14.74,14.43,14.74,17200,14.739,14.6077
2020-12-22,14.59,14.74,14.59,14.74,82300,14.7155,14.6203
2020-12-23,14.74,15.52,14.59,15.44,197700,14.766,14.6983
2020-12-24,15.52,15.91,14.74,15.13,27800,14.8165,14.7395
2020-12-25,14.82,15.99,14.82,15.52,134100,14.859,14.8138
2020-12-28,15.52,17.07,15.13,16.37,189300,14.9635,14.962
2020-12-29,16.69,16.92,16.22,16.3,33400,15.0415,15.0894
2020-12-30,16.14,16.14,15.68,15.91,41300,15.092,15.1676
2020-12-31,15.91,15.91,15.52,15.91,69700,15.1345,15.2383
2021-01-04,16.14,17.46,15.91,17.46,313500,15.2545,15.4499
2021-01-05,17.46,19.17,17.46,19.17,299600,15.4565,15.8042
2021-01-06,19.4,20.95,19.32,19.94,221400,15.7005,16.1981
2021-01-07,19.87,20.33,18.7,20.18,130200,15.9725,16.5773
2021-01-08,20.18,20.88,18.94,18.94,248000,16.1825,16.8023
2021-01-11,18.94,19.94,18.94,19.87,156900,16.439,17.0945
2021-01-12,19.87,21.34,19.87,20.95,299000,16.7495,17.4617
2021-01-13,21.11,22.66,21.11,21.88,157000,17.118,17.8825
2021-01-14,21.65,21.88,20.95,21.34,73500,17.448,18.2118
2021-01-15,21.34,21.96,20.72,21.34,156100,17.7935,18.5097
2021-01-18,21.34,21.73,20.8,21.57,110700,18.135,18.8011
2021-01-19,21.73,21.73,19.48,19.56,177800,18.376,18.8734
2021-01-20,19.56,19.79,18.24,19.79,43200,18.6285,18.9607
2021-01-21,20.18,20.25,19.4,19.87,71300,18.85,19.0473
2021-01-22,19.94,19.94,19.09,19.63,71600,19.075,19.1028
2021-01-25,19.71,19.71,19.09,19.48,63800,19.273,19.1387
2021-01-26,19.56,19.56,18.63,18.63,78900,19.386,19.0903
2021-01-27,18.7,18.78,17.69,18.24,65800,19.483,19.0093
2021-01-28,17.46,17.46,16.45,16.45,101600,19.51,18.7656
2021-01-29,14.9,18.08,14.82,17.15,32800,19.572,18.6117
2021-02-01,17.15,17.46,16.22,16.3,33100,19.514,18.3915
2021-02-02,16.69,17.0,16.06,16.92,18500,19.4015,18.2514
2021-02-03,17.0,17.85,17.0,17.77,18000,19.293,18.2055
2021-02-04,17.46,17.46,17.23,17.38,18600,19.153,18.1269
2021-02-05,17.77,17.77,17.15,17.38,24300,19.075,18.0558
2021-02-08,17.38,17.85,17.23,17.38,42600,18.9505,17.9914
2021-02-09,17.15,18.31,17.15,18.31,13300,18.8185,18.0218
2021-02-17,18.31,19.4,18.31,18.63,20800,18.656,18.0797
2021-02-18,18.63,19.01,18.47,18.63,20600,18.5205,18.1321
2021-02-19,18.63,18.63,17.85,18.39,43800,18.373,18.1567
2021-02-22,18.63,18.63,18.0,18.24,27900,18.2065,18.1646
2021-02-23,18.08,18.24,17.85,18.24,52000,18.1405,18.1718
2021-02-24,18.08,18.08,17.54,17.85,18100,18.0435,18.1411
2021-02-25,17.85,17.85,17.38,17.54,46200,17.927,18.0839
2021-02-26,17.54,17.77,17.38,17.69,58800,17.83,18.0464
2021-03-01,17.69,18.78,17.54,18.7,124700,17.791,18.1086
2021-03-02,18.63,19.4,18.24,18.31,30700,17.775,18.1278
2021-03-03,18.39,18.39,17.85,18.08,80100,17.767,18.1232
2021-03-04,18.08,18.55,17.46,17.85,88600,17.837,18.0972
2021-03-05,17.85,17.85,17.54,17.85,58900,17.872,18.0737
2021-03-08,17.93,18.55,17.93,18.24,27700,17.969,18.0895
2021-03-09,18.24,18.24,17.77,18.24,39100,18.035,18.1039
2021-03-10,18.31,19.32,17.77,19.32,169200,18.1125,18.2197
2021-03-11,19.4,20.18,19.4,19.63,147900,18.225,18.354
2021-03-12,19.63,19.63,18.86,18.86,54600,18.299,18.4022
2021-03-15,18.86,19.17,18.78,19.09,73300,18.3845,18.4677
2021-03-16,19.09,20.95,18.7,20.95,186000,18.5165,18.7041
2021-03-17,20.95,21.11,19.87,20.57,150200,18.6135,18.8818
2021-03-18,20.57,20.64,20.02,20.57,80800,18.7105,19.0426
2021-03-19,20.49,20.57,20.1,20.57,85700,18.8195,19.1881
2021-03-22,20.41,20.41,19.48,19.79,96300,18.897,19.2454
2021-03-23,19.79,19.79,19.17,19.25,90500,18.9475,19.2458
2021-03-24,19.17,19.17,18.55,18.7,136700,18.99,19.1938
2021-03-25,18.7,19.09,18.24,18.78,108200,19.052,19.1544
2021-03-26,18.78,19.09,17.93,18.78,54600,19.1065,19.1188
2021-03-29,18.63,19.17,18.63,18.94,36000,19.1185,19.1017
2021-03-30,19.4,19.4,18.78,19.01,38800,19.1535,19.093
2021-03-31,18.78,19.79,18.78,19.4,76900,19.2195,19.1222
2021-04-01,19.32,19.4,19.09,19.4,17300,19.297,19.1487
2021-04-02,19.4,19.48,19.32,19.4,38700,19.3745,19.1726
2021-04-05,19.71,19.71,19.09,19.25,27600,19.425,19.18
