time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,17.1,17.2,17.2,17.2,0,,
2020-01-03,17.1,17.2,17.2,17.2,0,,
2020-01-06,17.1,17.2,17.2,17.2,0,,
2020-01-07,17.1,17.2,17.2,17.2,0,,
2020-01-08,17.1,17.2,17.2,17.2,0,,
2020-01-09,17.1,17.2,17.2,17.2,0,,
2020-01-10,17.1,17.2,17.2,17.2,0,,
2020-01-13,17.1,17.2,17.2,17.2,0,,
2020-01-14,17.1,17.2,17.2,17.2,0,,
2020-01-15,17.1,17.2,17.2,17.2,0,,
2020-01-16,17.1,17.2,17.2,17.2,0,,
2020-01-17,17.1,17.2,17.2,17.2,0,,
2020-01-20,17.1,17.2,17.2,17.2,0,,
2020-01-21,17.1,17.2,17.2,17.2,0,,
2020-01-22,17.1,17.2,17.2,17.2,0,,
2020-01-30,17.1,17.2,17.2,17.2,0,,
2020-01-31,17.1,17.2,17.2,17.2,0,,
2020-02-03,17.1,17.2,17.2,17.2,0,,
2020-02-04,17.1,17.2,17.2,17.2,0,,
2020-02-05,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-06,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-07,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-10,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-11,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-12,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-13,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-14,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-17,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-18,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-19,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-20,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-21,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-24,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-25,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-26,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-27,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-02-28,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-02,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-03,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-04,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-05,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-06,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-09,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-10,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-11,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-12,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-13,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-16,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-17,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-18,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-19,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-20,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-23,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-24,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-25,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-26,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-27,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-30,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-03-31,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-01,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-03,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-06,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-07,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-08,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-09,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-10,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-13,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-14,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-15,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-16,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-17,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-20,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-21,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-22,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-23,17.1,17.2,17.2,17.2,0,17.2,17.2
2020-04-24,17.1,17.2,17.2,17.2,0,17.2,17.2
