time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.0,9.0,9.0,9.0,0,,
2020-01-03,9.0,9.0,9.0,9.0,0,,
2020-01-06,9.0,9.0,9.0,9.0,0,,
2020-01-07,9.0,9.0,9.0,9.0,0,,
2020-01-08,9.0,9.0,9.0,9.0,0,,
2020-01-09,9.0,9.0,9.0,9.0,0,,
2020-01-10,9.0,9.0,9.0,9.0,0,,
2020-01-13,9.0,9.0,9.0,9.0,0,,
2020-01-14,9.0,9.0,9.0,9.0,0,,
2020-01-15,9.0,9.0,9.0,9.0,0,,
2020-01-16,9.0,9.0,9.0,9.0,0,,
2020-01-17,9.0,9.0,9.0,9.0,0,,
2020-01-20,9.0,9.0,9.0,9.0,0,,
2020-01-21,9.0,9.0,9.0,9.0,0,,
2020-01-22,9.0,9.0,9.0,9.0,0,,
2020-01-30,9.0,9.0,9.0,9.0,0,,
2020-01-31,9.0,9.0,9.0,9.0,0,,
2020-02-03,9.0,9.0,9.0,9.0,0,,
2020-02-04,9.0,9.0,9.0,9.0,0,,
2020-02-05,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-06,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-07,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-10,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-11,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-12,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-13,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-14,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-17,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-18,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-19,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-20,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-21,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-24,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-25,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-26,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-27,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-02-28,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-02,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-03,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-04,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-05,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-06,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-09,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-10,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-11,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-12,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-13,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-16,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-17,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-18,9.0,9.0,9.0,9.0,0,9.0,9.0
2020-03-19,9.0,9.0,9.0,9.0,0,9.0,9.0
